trialnum,filename,facehouse,girlboy
316,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
317,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
318,stimulus_presentation/stim/face_house/faces\Janie_3.jpg,1,0
319,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
320,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
321,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
322,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
323,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
324,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
325,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,0
326,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
327,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,0
328,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,0
329,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,0
330,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
331,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,1
332,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,1
333,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
334,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
335,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
336,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,1
337,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,1
338,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
339,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
340,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,1
341,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
342,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,1
343,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
344,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,1
345,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
346,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
347,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,0
348,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,0
349,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
350,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,0
351,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,0
352,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,0
353,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,0
354,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
355,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
356,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,1
